name,link,category,based_in,tags,founded,business_name,logo_link,long_business_description,business_description,total_funding,website,company_status,social_links
Alwyzon,https://www.eu-startups.com/directory/alwyzon/,Austria,Vienna,"VPS, Dedicated Servers, Datacenter, Hosting",2020.0,Alwyzon,https://www.eu-startups.com/wp-content/uploads/2023/06/Alwyzon-150x150.jpg,,"Alwyzon provides developers and businesses in Austria with powerful cloud infrastructure at an unbeatable price. Alwyzon is your partner for servers in Austria. Accelerate your web applications with the latest hardware, competitive prices and a central location within Europe.",No funding announced yet,https://www.alwyzon.com/,Active,"('https://www.linkedin.com/company/alwyzon/',)"
Sola Diagnostics,https://www.eu-startups.com/directory/sola-diagnostics/,Austria,Zams,"Biotechnology, Appeal, Particularly",2020.0,Sola Diagnostics,https://www.eu-startups.com/wp-content/uploads/2021/06/y6b9jy98eacxtggs1pte-150x80.png,,"Sola commits to support the translation of promising science in cancer prevention by epigenetic-based risk prediction into marketable products to benefit patients and society. Sola is delighted to formalize Angus as Non-Executive Chairman. For nearly 20 years Angus was Chair of The Eve Appeal, a UK charity that funds research into the early detection and prediction of gynecological cancers, including breast cancer.",No funding announced yet,https://www.sola-diagnostics.com/,,()
Streak,https://www.eu-startups.com/directory/streak/,Austria,Vienna,"Apps, Mobile, Social Media",2020.0,Streak,https://www.eu-startups.com/wp-content/uploads/2021/06/bdmpd3gfivplyednlt4y-150x150.png,,"Streak is a mobile app that connects with travelers and locals around the world at any time. In three steps to your favorite travel partner. Sign-up, let us know your favorite holiday destination & when you want to go, and instantly swipe through all potential travel partners.",No funding announced yet,https://streakapp.com/,,()
Streemfire,https://www.eu-startups.com/directory/streemfire/,Austria,Vienna,"Internet, Media and Enterainment, Video Streaming",2020.0,Streemfire,https://www.eu-startups.com/wp-content/uploads/2021/06/lvo9bwriwuveboymegql-150x150.png,,"Streemfire provides free, independent, and user-generated TV. Video on Demand platforms offer too many choices and often result in either opting out or watching the familiar. Genre-based, Linear TV is ideal for discovering new and independent content.",No funding announced yet,https://www.streemfire.com/,,()
Jobchain,https://www.eu-startups.com/directory/jobchain/,Austria,Vienna,"FinTech, Recruiting, Financial Services",2020.0,Jobchain,https://www.eu-startups.com/wp-content/uploads/2022/06/Jobchain-150x150.jpg,,"Jobchain is a pioneering fintech corporation based in Austria in charge of developing a platform that allows its user to have financial and recruitment services, easy to use and secure. We are driven towards our objectives guided by our values. In addition to developing an innovative product, at Jobchain® we promote new business models and try to make people's lives easier, especially those who need it most. Our mission is to reach all corners of the world and make them participate in this pioneering technological experience.",No funding announced yet,https://www.jobchain.com,,()
Integrysign,https://www.eu-startups.com/directory/integrysign/,Austria,Wiener Neustadt,"Cyber Security, E-Signature, Identity Management, Security",2020.0,Integrysign,https://www.eu-startups.com/wp-content/uploads/2022/06/Integrysign-150x150.jpg,,"Integrysign offers a solution with HyperMark and HUMETRX that provides products and services against fraud, counterfeiting, and piracy. It provides multi-factor authentication through holographic signatures and HUMETRX voice biometrics. It ensures ultimate integrity for the identification and authentication of individuals, financial assets, material assets, and goods. It was founded in 2020 and is based in Wien, Wien.",No funding announced yet,https://www.integrysign.com/,,()
myReha,https://www.eu-startups.com/directory/myreha/,Austria,Vienna,"Artificial Intelligence, Health Care",2020.0,myReha,https://www.eu-startups.com/wp-content/uploads/2022/06/myReha-150x150.jpg,,"myReha is an artificial intelligence and evidence-based neurological research tablet app that offers a revolutionary form of therapy. myReha was founded in 2020 and was headquartered in Vienna, Austria.",No funding announced yet,https://www.myreha.ai/,,()
Nano Influence,https://www.eu-startups.com/directory/nano-influence/,Austria,Vienna,"Advertising, SaaS, Software",2020.0,Nano Influence,https://www.eu-startups.com/wp-content/uploads/2022/06/Nano-Influence-150x150.jpg,,We digitalize word of mouth marketing. Our technology allows companies to get people to refere their product to their respective friends with the click of a button. Doing so we are working with nano influencers. Our authentic nano influencers take care of creating and distributing your online content.,No funding announced yet,http://www.getnano.io,,()
hae.sh,https://www.eu-startups.com/directory/hae-sh/,Austria,Linz,"Blockchain, Cloud Computing, Risk Management",2020.0,hae.sh,https://www.eu-startups.com/wp-content/uploads/2022/06/hae.sh_-150x150.jpg,,"hae.sh was founded in September 2020 by Sebastian Holler, Nicolas Kirchmayr and Stefan Lew to tackle problems within internal and external audits. The goal is to develop and distribute an easy-to-use continuous audit application based on blockchain for internal and external audits. The company's purpose is the development, programming and distribution of software systems, especially cloud and blockchain solutions to enable economic trust through compliance by design. Through profound ICS understanding and a modular system architecture with common programming and documentation standards, external auditing and a smooth development is guaranteed.",Between €1 million-€ 2.5 million,https://hae.sh/,,()
Green Cloud Nine,https://www.eu-startups.com/directory/green-cloud-nine/,Austria,Jenbach,"E-Commerce, Retail, Sustainability",2020.0,Green Cloud Nine,https://www.eu-startups.com/wp-content/uploads/2022/06/Green-Cloud-Nine-150x150.jpg,,"Green Cloud Nine is a digital marketplace for sustainable products and services. Their sustainable marketplace is on a mission to make sustainability mainstream, connecting ethical and responsible customers who want to do good for the earth with fair, environmentally-friendly businesses all around the world. They hope to accelerate the transition to a more equitable and environmentally sustainable business and society through their digital marketplace. They strive to replace unjust, wasteful, and polluting products and services with sustainable counterparts.",No funding announced yet,https://www.greencloudnine.com/info,,()
NOVEM Gold,https://www.eu-startups.com/directory/novem-gold/,Austria,Linz,"Finance, Precious Metals",2020.0,NOVEM Gold,https://www.eu-startups.com/wp-content/uploads/2022/06/NOVEM-Gold-150x150.jpg,,"NOVEM Gold transforms the precious metal industry through the use of advanced blockchain technology. Novem isn't limited to the web, with plans to build up to 100 brick and mortar commercial stores across Europe's major metropolitan cities. These clean, upscale locations will allow anyone to bring in old gold and have that tested for quality, minted anew, and stored. Once stored, your digital ownership is delivered to a secure digital wallet that you control and is 100% backed by LBMA-certified gold.",No funding announced yet,https://novemgold.com/,,()
Froots,https://www.eu-startups.com/directory/froots/,Austria,Vienna,"Asset Management, FinTech, Wealth Management",2020.0,Froots,https://www.eu-startups.com/wp-content/uploads/2022/06/Froots-150x150.jpg,,"Froots.io is an online wealth manager that helps people to afford things that are considered for the lucky few. Whether one aspires an early retirement or a top education for their children, froots helps them to achieve their long-term financial objectives by tailoring a goal based. We are wealth builders and we adapt to your financial goals in life. With no hidden costs. Independent and easy.",Between €2.5 million-5 million,https://www.froots.io/,,()
Redem,https://www.eu-startups.com/directory/redem/,Austria,Linz,"Analytics, Market Research, SaaS, Software",2020.0,Redem,https://www.eu-startups.com/wp-content/uploads/2022/06/Redem-150x150.jpg,,Redem® is a ResTech (Research Technology) company and offers AI-based SaaS solutions for the quality assurance of survey data. Redem® helps market research companies to automate and optimize quality control and data cleansing. Redem thus helps market research companies to significantly increase the efficiency of their data cleaning and to optimize the quality of their data sets.,No funding announced yet,https://redem.io,,()
Repeato,https://www.eu-startups.com/directory/repeato/,Austria,Vienna,"Mobile Apps, Software, Usability Testing",2020.0,Repeato,https://www.eu-startups.com/wp-content/uploads/2022/06/Repeato-150x150.jpg,,"Repeato is a test automation tool which works based on computer vision and machine learning. This way the tester does not need to care about the underlying architecture of the app (IDs, layout structure, framework), which simplifies the creation of tests. Instead of writing code, tests can be recorded via a test recorder. For each click interaction a visual fingerprint is generated which allows the test runner to find the UI element later on. For each test run, a screenshot based report can be generated which can be easily published to your favourite bug tracking tool.",No funding announced yet,https://www.repeato.app/,,()
S-A-M Technologies,https://www.eu-startups.com/directory/s-a-m-technologies-gmbh/,Austria,Perg,"Agriculture, Artificial Intelligence, Farming, Robotics",2020.0,S-A-M Technologies,https://www.eu-startups.com/wp-content/uploads/2022/06/S-A-M-Technologies-GmbH-150x150.jpg,,"S-A-M Technologies GmbH is a software technology company with the ability to engineer and manufacture mechanic, electric and embedded electronic hardware. Our mission is to accelerate the benefits of robotics and artificial intelligence for agricultural use. We believe, AI and robotics are at the cusp of transforming agricultural industry towards a sustainable and CO2 neutral business. SAM is our ongoing project to bring our vision to reality. We are a bold, committed, and open-minded team of doers, makers, and entrepreneurs. Join us on our journey to a new way of agriculture – stay connected!",No funding announced yet,https://www.s-a-m.tech/,,()
DOMA.market,https://www.eu-startups.com/directory/doma-market/,Austria,Vienna,"Artificial Intelligence, E-Commerce, Fashion, Information Technology",2020.0,DOMA.market,https://www.eu-startups.com/wp-content/uploads/2022/06/DOMA.market-150x143.jpg,,"We are creating a Marketplace for female startup founders who want to sell their products and services not only in the local market, but all over the world. Our team applies their own know-how to the already successful interactive e-commerce model: We have a client base of traders with interesting goods and attractive prices We specialize in PR We possess expert knowledge of fashion trends. We can integrate AI and machine learning into our platform. We are more like Facebook than Google in the e-commerce world. Except for when you are out of toilet paper or pasta and need to replenish supplies at the supermarket, much of shopping in the physical world is more serendipitous. Like spotting a particularly nice dress while passing by a window shop.",Between €1 million-€ 2.5 million,https://doma.market/en,,()
Digiburn,https://www.eu-startups.com/directory/digiburn/,Austria,Vienna,"Health Care, Medical Device, mHealth, Mobile Apps",2020.0,Digiburn,https://www.eu-startups.com/wp-content/uploads/2022/06/Digiburn-150x150.jpg,,"Digiburn is a burnout risk check-up and 12 weeks self-help growth journey withn a mobile App. Digiburn App Digiburn combines a validated burnout-risk evaluation protocol and a proprietary 12 weeks self-help growth program. Every module starts by building awareness (educational), inspiring you for action (practical), and nudging your creativity (awareness). On top, you get hand-picked exercises for reflection, meditation, and breathing, as well as a progress tracker to reward yourself along your growth journey.",No funding announced yet,https://digiburn.health/,,()
simplify.art,https://www.eu-startups.com/directory/simplify-art/,Austria,Vienna,"Asset Management, Collaboration, CRM, Information Technology, SaaS, Software",2020.0,simplify.art,https://www.eu-startups.com/wp-content/uploads/2022/06/simplifyart-150x150.jpg,,"simplify.art was founded after years of frustration with the current state of art management tools by Victoria Dejaco, a gallerist, collection manager and curator. It is her mission to make art management easy and accessible. Even if it’s just a few pieces! simplify.art is perfect for all collection sizes. Founder Victoria Dejaco has seen first hand the struggle of starting a collection database too late. With the simplify.art app, there’s no need to delay. We’ve made it so easy to manage and take care of your art.",Between €100K-€500K,https://www.simplify.art,,()
TALENT & MORE,https://www.eu-startups.com/directory/talent-more/,Austria,Vienna,"Consulting, Human Resources, Recruiting, Staffing Agency",2020.0,TALENT & MORE,https://www.eu-startups.com/wp-content/uploads/2022/06/TALENT-MORE-150x150.jpg,,"TALENT & MORE offers high-quality and boutique talent solutions globally by prioritizing a high-end approach in Executive Search & Recruitment, Outplacement, and Assessment Services. We make a great difference by providing tailored, world-class solutions in line with client needs, utilizing a client-oriented mindset above all, and achieving desired outstanding results. We pride ourselves on connecting clients with the best executive talents possible and high-end leadership solutions in a diverse range of industries with a personalized approach. Our aim as TALENT & MORE is to ensure that every client and candidate experience ends in a high level of satisfaction, regardless of how complicated their needs may be, and our interactions are always characterized and carried out by respect, trust, warmth, and professionalism.",No funding announced yet,https://talentandmore.com/,,()
careety,https://www.eu-startups.com/directory/careety/,Austria,Vienna,"Health Care, Medical, Software",2020.0,careety,https://www.eu-startups.com/wp-content/uploads/2022/06/careety-150x150.jpg,,"We help doctors choose the best treatments, save time and provide a 10x better patient experience with just a few clicks. Be the best doctor you can be and for caring doctors only. Careety helps doctors choose the best treatments, save time, and provide a better patient experience​. It is based in Vienna, Austria.",No funding announced yet,https://careety.com,,()
Calm/Storm Ventures,https://www.eu-startups.com/directory/calm-storm-ventures/,Austria,Vienna,"Electronic Health Record (EHR), Fertility, Health Care, Health Diagnostics",2020.0,Calm/Storm Ventures,https://www.eu-startups.com/wp-content/uploads/2022/06/Calm-Storm-Ventures-150x150.jpg,,"Calm/Storm Ventures is a founder network and boutique venture capital firm that invests in solutions improving health and wellbeing. They invest in founders that change lives for the better. Calm/Storm Ventures believe in lifelong learning and personal growth, empowering entrepreneurs with unique access to successful founders. Entrepreneurship is a continuous storm. Calm/Storm is an exclusive founder network and boutique venture capital firm. We focus on talents, not industries. We believe in lifelong learning & personal growth, empowering entrepreneurs with unique access to successful founders. We are a fund built by founders for founders",No funding announced yet,https://www.calmstorm.vc,,()
Vollville,https://www.eu-startups.com/directory/vollville/,Austria,Vienna,"Business Information Systems, Human Resources, Information Technology, Software",2020.0,Vollville,https://www.eu-startups.com/wp-content/uploads/2022/06/Vollville-150x150.jpg,,"At Vollville Tech, our mission is to empower every person and every organization to achieve more. Our mission is grounded in both the world in which we live and the future we strive to create. Today, we live in a mobile-first, cloud-first world, and the transformation we are driving is designed to enable our customers to thrive in this world.",No funding announced yet,https://vollville.com,,()
WeDress Collective,https://www.eu-startups.com/directory/wedress-collective-gmbh/,Austria,Vienna,"Fashion, Internet",2020.0,WeDress Collective,https://www.eu-startups.com/wp-content/uploads/2022/06/WeDress-Collective-GmbH-150x150.jpg,,"WeDress offers you a smart way to lend and rent your wardrobe, on-demand. The fashion sharing platform, which operates in Vienna, Berlin & Munich allows members to share clothes and accessories, securely and in seconds. WeDress offers an intuitive online platform, that makes it easily possible to follow the credo 'sharing is caring' and to connect people. We at WeDress believe, that there is a chance to combine consumption & sustainability. Our mission is to make people express their individual style with a larger selection of clothes, while dramatically reducing their environmental footprint. Our goal: to extend the life of clothing. With us, everyone gets access to the perfect piece, for every occasion, at a fraction of the original price - without having to consume disposable fashion. On the other hand, unworn clothing can be monetised without members having to part with it. Together we can fill an infinite wardrobe.",No funding announced yet,https://www.wedresscollective.com/home,,()
Ahoy Kapptn!,https://www.eu-startups.com/directory/ahoy-kapptn/,Austria,Linz,"Android, Apps, iOS, Mobile Apps",2020.0,Ahoy Kapptn!,https://www.eu-startups.com/wp-content/uploads/2022/06/Ahoy-Kapptn-150x150.jpg,,"Ahoy Kapptn develops digital products such as mobile apps and development for iOS and Android, as well as UI and UX design. It was founded in 2020 and is based in Linz, Upper Austria. Building digital products that make people smile. Together we are in the right boat. The requirements of our customers determine how we start the journey. Start small and set off to new shores in a rowing boat, set sail and discover new things or full steam ahead with the speedboat - you are the ""Capptn""! Ahoy from the port of Linz! Together we build digital products like mobile apps & web experiences that put a smile on people's faces.",No funding announced yet,https://ahoikapptn.com/,,()
Asigmo,https://www.eu-startups.com/directory/asigmo-gmbh/,Austria,Vienna,"Artificial Intelligence, Corporate Training, Information Technology, Training",2020.0,Asigmo,https://www.eu-startups.com/wp-content/uploads/2021/05/Asigmo-GmbH-150x150.png,,"Asigmo program is an intensive eight-week professional data science fellowship engineered to be your bridge to a prosperous Data Science career. Started at 2020, Asigmo is on a mission to efficiently increase the number of skilled data scientists in the job market and connect them with businesses.",No funding announced yet,https://www.asigmo.com/,,()
Visplore,https://www.eu-startups.com/directory/visplore/,Austria,Vienna,"Analytics, Information Services, Software",2020.0,Visplore,https://www.eu-startups.com/wp-content/uploads/2021/05/download-9-150x44.png,,"Plug-and-play visual analytics for exploring and preparing large data in much less time. That thought was the starting point of the Visplore journey. Having a background in game development, the founders Harald and Thomas transferred their passion for interactive graphics to advanced analytics of sensor data.",Between €1 million-€ 2.5 million,https://visplore.com/,,()
Wiffme,https://www.eu-startups.com/directory/wiffme/,Austria,Vienna,"Live streaming service, Efficient decisions, Stream live Wiffme",2020.0,Wiffme,https://www.eu-startups.com/wp-content/uploads/2021/05/m5wi3coczjjmlcvw2lpf-150x162.png,,Wiffme is a social live streaming service. Social Engagement Plattform. Wiffme makes Streaming Social. WIFFme enables to request and share location-based information in real-time via live videos!,No funding announced yet,https://wiffme.com/,,()
Studylia,https://www.eu-startups.com/directory/studylia/,Austria,Baia Mare,"Marketplace, SaaS, Subscription",2020.0,Studylia,https://www.eu-startups.com/wp-content/uploads/2022/05/1625212619687-150x150.jpg,,"""Studylia is the platform that connects coaches and teachers with their communities. Studylia's customer segments can be divided into two groups: coaches and students. Studylia's business model is based on the following value propositions: For coaches: convenience in launching and growing a business, nurturing relationships with the community, and gathering feedback. For students: on-demand social learning and social interactions. The platform operates under a commission fee-based revenue model that encourages coaches to grow and nurture their communities, thus generating more business for themselves.""",No funding announced yet,https://studylia.com/,,()
Sophia Advisory,https://www.eu-startups.com/directory/sophia-advisory/,Austria,Vienna,"Marketplace, Services Industry, Business Solutions",2020.0,Sophia Advisory,https://www.eu-startups.com/wp-content/uploads/2021/05/1589532948175-150x150.png,,"HalloSophia.com is a marketplace for sophisticated advice. The platform allows users to bring sophisticated new approaches to their company as a competitive advantage, whether financing, marketing, legal. Sophia is access to the new normal of goal-driven business advice. On HalloSophia users find a global network of experts and experienced entrepreneurs ready to help. The expert offer is tailor-made for the user to receive advice for their specific goals.",No funding announced yet,https://www.hallosophia.com,,()
Sparcs,https://www.eu-startups.com/directory/sparcs/,Austria,Vienna,"Lifestyle, App, Social Network",2020.0,Sparcs,https://www.eu-startups.com/wp-content/uploads/2021/05/Screenshot-2021-05-14-at-12.45.19-150x97.png,,"Sparcs is the social network for a healthy and motivated life activating the sparking and supporting power of your community to help you live your dream lifestyle. Enjoy the best habit-forming features to achieve any lifestyle goal, get the social backing you need to regularly practice healthy routines, and uniquely share your progress live.",No funding announced yet,https://www.sparcs.app/,,()
Audiomy,https://www.eu-startups.com/directory/audiomy-gmbh/,Austria,Vienna,"podcast advertising, podcasting, podcast marketplace",2020.0,Audiomy,https://www.eu-startups.com/wp-content/uploads/2020/05/Screenshot-2020-05-14-at-12.42.49-150x103.png,"Audiomy.com is a digital marketplace connecting advertisers with European podcasters. Our podcast network comprises high-reach European podcasts in several categories, offering immediate access to a broad range of audiences. On the demand side, we onboard advertisers and help them incorporate podcast ads into their marketing strategy. We are their single point of contact for podcast campaigns that can include multiple podcasts and are addressed to a specific audience. On the supply side, we work closely with podcasters and help them increase revenue for the content they generate. We are currently developing technology that can add value to both advertisers and podcasters like brand monitoring, tracking and analytics tools.",Audiomy.com is a digital marketplace connecting advertisers with European podcasters.,,www.audiomy.com,,()
THT Biomaterials,https://www.eu-startups.com/directory/tht-biomaterials/,Austria,Vienna,"Biotechnology Research, Medical Research Center,",2020.0,THT Biomaterials,https://www.eu-startups.com/wp-content/uploads/2023/04/THT-Biomaterials-150x150.jpg,,"THT Biomaterials offers human placenta-derived products not only to reduce and replace animal materials in science but also to improve the translation of in vitro results into clinical applications. THT Biomaterials GmbH aims to provide an affordable, sustainable, and personalized medicine by using human placenta tissue, a medical waste that would otherwise be discarded. THT Biomaterials human placenta-derived products can be used for different biological applications such as 3D cell culture, tissue fabrication, bioprinting, etc., offering along extra benefits as the contribuition for the 3Rs policy on the protection of animals used for scientific purposes (Directive 2010/63/EU).",Between €500K-€ 1 million,https://tht-biomaterials.com/,,()
Luga UP,https://www.eu-startups.com/directory/luga-up/,Austria,Graz,"E-Learning Providers, Education, Online Course",2020.0,Luga UP,https://www.eu-startups.com/wp-content/uploads/2023/04/Luga-UP-150x150.jpg,,"Luga Up was created to offer courses that improve the skills and competencies of Spanish-speaking people. Our courses are designed for learning trades, training of recently graduated professionals, in-company training as well as courses on the new government. LUGA-UP is a space for personal growth based on 6 (six) Pillars: L earning: Learning in this case the internet Ubiquitous: wherever you are you can learn G: enhancement of your learning: play and learn at the same time A: ula inverted: You are the protagonist of your learning U: simulation: you learn by doing, you learn by creating P: you can grow up, you can learn at any age",Between €100K-€500K,https://www.lugaup.com,,()
akedis Innovations,https://www.eu-startups.com/directory/akedis-innovations/,Austria,Tirol,"IT Services, IT Consulting, Medical Informatics",2020.0,akedis Innovations,https://www.eu-startups.com/wp-content/uploads/2023/04/akedis-Innovations-150x150.jpg,,"akedis Innovations develops health IT solutions in an agile way. The main focus of the company is structured medical data. Offer expertise in the field of medical informatics. akedis Innovations aim is to offer real added value for our customers and for healthcare with our expertise and innovative, high-quality solutions.",Between €100K-€500K,https://www.akedis.cc,,()
Crypto Ape,https://www.eu-startups.com/directory/crypto-ape/,Austria,Vienna,"blockchain development, cryptocurrency exchange development, token development",2020.0,Crypto Ape,https://www.eu-startups.com/wp-content/uploads/2022/04/cryptocurrency-exchange-development-services-150x150.jpg,Crypto Ape Technologies is an exclusive blockchain and cryptocurrency development company that offers instant and complete crypto solutions to kickstart your business. We offer customizable solutions for your business so that you can craft your crypto platform as per your business requirement. We have a team of exceptional developers and designers who are experts in the field of cryptocurrency and blockchain development. We use state-of-the-art technology tools for our software and have a successful track record in offering blockchain and crypto solutions to our clients. Reach us to get instant and outstanding crypto solutions.,We are a blockchain development company and just reaching you out to know whether you are interested in any of our services listed below 1. Cryptocurrency Exchange Development 2. Cryptocurrency Payment Gateway Development 3. ICO/STO Development 4. Token creation 5. Wallet Applications 6. DEX Applications,No funding announced yet,https://thecryptoape.com/,,()
Advolist,https://www.eu-startups.com/directory/advolist/,Austria,Vienna,"legal-tech, lawyer, attorney, law, find",2020.0,Advolist,https://www.eu-startups.com/wp-content/uploads/2020/04/advolist_logo-150x41.png,"Advolist ist an Austrian Start-Up and was founded in 2020 and is active in the field of Legal-Tech. Its main goal is to provide every client the perfect lawyer. The internet is getting more and more important, not just in the branch of law. Increasingly more people are looking up their lawyer on the internet. The search search algorithm is simple and easy, you can filter lawyers by region, city, specialization or language. You can find more informations on https://advolist.at",Advolist ist an Austrian Start-Up in the field of Legal-Tech,,https://advolist.at,,()
Speaketto,https://www.eu-startups.com/directory/speaketto/,Austria,Viena,"marketplace, conversations, machine learning, algorithm, practice",2020.0,Speaketto,https://www.eu-startups.com/wp-content/uploads/2020/03/https___www.grasshoppr.io_-7-150x150.png,,Speaketto is an online marketplace for conversations. Our machine-learning matching algorithms helps language learners to find the most suitable online language helpers with whom they can practice.,,https://www.speaketto.com,,()
LawStar,https://www.eu-startups.com/directory/lawstar/,Austria,Vienna,"E-Learning, Legal, Online Platform, Legal Assistance",2020.0,LawStar,https://www.eu-startups.com/wp-content/uploads/2021/03/LawStar-150x150.png,,"LawStar is based in Vienna, Austria. It is a learning and community platform for law students and lawyers in Austria. The platform helps you acquire, consolidate and also review legal expertise. Their mission is to make access to legal expertise as attractive and simple as possible.",No funding announced yet,lawstar.at/,,()
Inoqo,https://www.eu-startups.com/directory/inoqo/,Austria,Vienna,"Apps, CleanTech, GreenTech, Sustainability",2020.0,Inoqo,https://www.eu-startups.com/wp-content/uploads/2021/03/Inoqo-150x150.png,,"inoqo is a mobile app that helps you combine environmental and social responsibility with your daily grocery choices. It wants to provide consumers with scientific-based data on the environmental, social and biodiversity impact of familiar grocery products. Realign your lifestyle with your core values and contribute to a positive impact on the planet. The app uses a passive tracking technology (without you having to scan individual products!)  informing you about -for example- the CO2 impact of their purchase and how aligned it is to their environmental priorities or social values.",No funding announced yet,http://www.inoqo.com/,,()
Probando,https://www.eu-startups.com/directory/probando/,Austria,Graz,"therapies, health, studies",2020.0,Probando,https://www.eu-startups.com/wp-content/uploads/2021/03/probando-150x150.jpg,,"With us, you get exclusive access to the latest therapies, find out more about your body and your health, test new products, take part in competitions and even earn money in some studies. Register for free on our platform, search for studies in your city, and register quickly and easily for a study that is right for you!",No funding announced yet,https://www.probando.io/#/,,()
506,https://www.eu-startups.com/directory/506/,Austria,Linz,"Data Analysis, AI, Marketing Services",2020.0,506,https://www.eu-startups.com/wp-content/uploads/2021/03/506-logo-150x150.png,,"506 is a digital marketing company specialized in first-party data. The focus is on the analysis, management, and activation of digital visitor and customer data that we collect for our customers. Based on this data, we develop unique and personalized communication measures that sustainably increase our clients' business success. With this ""people-based marketing"" approach, our ""customer data products"" and deep know-how across all digital media, we offer a unique service portfolio. What sets us apart is our customer-centric approach, driven by data to connect the entire marketing and sales process. We focus on individual targeting, personalized communication, and connect actions along the marketing funnel. In this way, we bring back to our customers' complete control over their own data: from digital advertising measures and lead generation to closing and existing customer care. By combining visitor and customer data in the 506 Customer Data Platform (CDP) and existing company data, we can also predict and respond to the potential behavior of visitors and customers with our predictive analytics solutions.",No funding announced yet,https://www.506.ai,,()
S-A-M Technologies,https://www.eu-startups.com/directory/s-a-m-technologies/,Austria,Perg,"repetitive tasks, agricultural robot, heavy machinery",2020.0,S-A-M Technologies,https://www.eu-startups.com/wp-content/uploads/2021/03/sam-150x55.jpg,,"Separate humans from repetitive tasks and make work independent from time with SAM - our cost-effective autonomous agricultural robot for weed, pick, fertilize, transport and seed. SAM is the only versatile agricultural robot designed for high volume, easy to transport, cost-efficient, and collaborative. Agricultural challenges: shortage in workforce soil compaction due to heavy machinery CO2 emissions due to transport and heavy machinery high consumption of water or fertilizer due to non-specific supply Autonomous, CO2 neutral, NVH minimized operation for corn, grape, and fruit cultivation transport seed weed watering & fertilize pick SAM – the carrier: The AI-controlled, autonomous, lightweight robot IoT devises to monitor and control SAM high volume production hardware for electric drive and  sensors",No funding announced yet,https://s-a-m.tech/,,()
Secondra.com,https://www.eu-startups.com/directory/secondra-com/,Austria,Vienna,"buy and sell second-hand, ad-free, vintage, homemade",2020.0,Secondra.com,https://www.eu-startups.com/wp-content/uploads/2021/03/secondra-150x133.png,,"Secondra is the safest and fastest way to buy and sell second-hand and used items. Each member is authenticated so that the quality of the deals is always safe and fair. Secondra is free, ad-free, and free of charge. Find thousands of interesting things and unique items such as second hands, vintage, or homemade items from our verified and tested providers in just a few seconds. You can browse, check prices, make direct offers online, buy immediately. The seller's answer is available immediately. Your alternative marketplace 24/7. Payment is cashless with the new debit cards or credit cards. If everything is OK with your purchase, your seller gets his money. If not ok, you will get your money back.",Between €1-€100K,https://secondra.com/,,()
TeleDoc,https://www.eu-startups.com/directory/teledoc/,Austria,Vienna,"doctor online, medical consultation, prescription, digital consultation",2020.0,TeleDoc,https://www.eu-startups.com/wp-content/uploads/2021/02/teledoc-150x38.png,,"Visit a doctor online. From anywhere, at any time. TeleDoc is your direct route to a medical consultation – whether you need detailed advice or just a prescription renewal, visit the doctor online via a video call on your computer or mobile phone. For a basic monthly fee with no hidden costs. Expert medical information, rapidly and round the clock. Your rapid, simple, and unbureaucratic route to a digital consultation with a doctor: first-class medical advice online, in just a few clicks. Register once, benefit at any time. For a monthly fixed price with no extra costs. Register now with TeleDoc.",No funding announced yet,https://myteledoc.app/,,()
Circly,https://www.eu-startups.com/directory/circly/,Austria,Vienna,"Artificial Intelligence, Machine Learning, Predictive Analytics, Supply Chain Management",2020.0,Circly,https://www.eu-startups.com/wp-content/uploads/2021/02/circly-150x150.png,,"Circly is a startup based in  Vienna, Austria. The company offers adjustable, autonomous & data driven Machine Learning based Prediction System for the retail sector to forecast demand. With Circly, the supply chain and warehouse utilization can be greatly improved.",No funding announced yet,www.circly.at,,()
VR Motion Learning,https://www.eu-startups.com/directory/vr-motion-learning-gmbh-co-kg/,Austria,Vienna,"VR tennis, sports, VR",2020.0,VR Motion Learning,https://www.eu-startups.com/wp-content/uploads/2021/02/VRM-logo-150x59.png,,"Tennis Esports is a VR tennis simulation based on scientific research. You play tennis from home on a virtual court, with virtual balls, against virtual or real opponents. We offer an authentic VR tennis experience with the most realistic physics simulation available on the market. Like on a real tennis court you train all different tennis strokes with the help of an intelligent ball machine. You will be able to play tennis in your living room with real opponents all over the world via Internet. Soon you can also join tournaments and participate in the VR Super League. Exercises that are specially tailored to VR will monitor your racket swing and give you specialized feedback about your current skill level and progress. The collaborative ecosystem includes a VR environment for interactive training and matches, a web portal for statistics and more.",Between €1 million-€ 2.5 million,www.vr-motion-learning.com,,()
